SensorID,Numeric_ID
TE002,1
TE005,2
TE042,3
TE162,4
TE006,5
TE140,6
TE330,7
TE340,8
TE009,9
TE508,10
TE260,11
TE275,12
TE010,13
TE011,14
TE012,15
TE519,16
TE134,17
TE366,18
TE325,19
TE013,20
TE021,21
TE077,22
TE063,23
TE014,24
TE463,25
TE332,26
TE469,27
TE470,28
TE017,29
TE301,30
TE160,31
TE022,32
TE308,33
TE309,34
TE026,35
TE070,36
TE078,37
TE038,38
TE368,39
TE039,40
TE040,41
TE041,42
TE314,43
TE484,44
TE274,45
TE388,46
TE264,47
TE478,48
TE228,49
TE339,50
TE223,51
TE370,52
TE509,53
TE440,54
TE133,55
TE175,56
TE213,57
TE435,58
TE045,59
TE165,60
TE345,61
TE125,62
TE118,63
TE530,64
TE053,65
TE369,66
TE050,67
TE161,68
TE397,69
TE431,70
TE056,71
TE060,72
TE507,73
TE550,74
TE064,75
TE394,76
TE065,77
TE471,78
TE472,79
TE071,80
TE072,81
TE306,82
TE144,83
TE074,84
TE075,85
TE256,86
TE338,87
TE076,88
TE179,89
TE355,90
TE302,91
TE182,92
TE080,93
TE131,94
TE104,95
TE426,96
TE105,97
TE106,98
TE112,99
TE511,100
TE115,101
TE122,102
TE130,103
TE136,104
TE393,105
TE502,106
TE424,107
TE527,108
TE135,109
TE137,110
TE138,111
TE206,112
TE229,113
TE139,114
TE334,115
TE174,116
TE558,117
TE387,118
TE141,119
TE142,120
TE143,121
TE150,122
TE153,123
TE158,124
TE402,125
TE169,126
TE178,127
TE180,128
TE181,129
TE184,130
TE185,131
TE324,132
TE192,133
TE196,134
TE197,135
TE201,136
TE437,137
TE208,138
TE209,139
TE398,140
TE354,141
TE222,142
TE379,143
TE232,144
TE238,145
TE265,146
TE241,147
TE244,148
TE245,149
TE250,150
TE261,151
TE269,152
TE273,153
TE436,154
TE305,155
TE300,156
TE329,157
TE303,158
TE307,159
TE346,160
TE335,161
TE490,162
TE380,163
TE493,164
TE494,165
TE333,166
TE352,167
TE452,168
TE341,169
TE385,170
TE347,171
TE384,172
TE353,173
TE357,174
TE415,175
TE395,176
TE367,177
TE391,178
TE510,179
TE410,180
TE414,181
TE427,182
TE475,183
TE477,184
TE479,185
TE503,186
TE521,187
TE523,188
TE526,189
TE528,190
TE559,191
